vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2017-07-12T21:30:21.000,2017-07-12T22:06:00.000,2,19.57,2,N,132,263,1,52,0,0.5,0,5.76,0.3,58.56
1,2017-07-12T21:18:00.000,2017-07-12T21:35:55.000,3,7.40,2,N,223,239,1,52,0,0.5,7,5.76,0.3,65.56
1,2017-07-12T21:51:32.000,2017-07-12T22:03:26.000,2,1.50,1,N,230,234,1,9,0.5,0.5,2.05,0,0.3,12.35
1,2017-07-12T21:12:44.000,2017-07-12T21:20:03.000,1,0.90,1,N,141,163,2,7,0.5,0.5,0,0,0.3,8.3
1,2017-07-12T21:23:35.000,2017-07-12T21:36:44.000,2,2.50,1,N,163,238,1,11.5,0.5,0.5,3.2,0,0.3,16
1,2017-07-12T21:54:17.000,2017-07-12T22:04:18.000,1,2.00,1,N,142,238,1,9.5,0.5,0.5,1,0,0.3,11.8
2,2017-07-12T21:09:56.000,2017-07-12T21:22:10.000,1,1.32,1,N,114,148,2,9,0.5,0.5,0,0,0.3,10.3
2,2017-07-12T21:45:04.000,2017-07-12T22:02:01.000,2,3.83,1,N,107,145,1,14.5,0.5,0.5,4.31,5.76,0.3,25.87
2,2017-07-12T21:24:15.000,2017-07-12T22:09:45.000,1,21.68,2,N,132,232,1,52,0,0.5,13.2,0,0.3,66
2,2017-07-12T21:14:07.000,2017-07-12T21:32:04.000,3,8.83,1,N,138,262,1,26,0.5,0.5,8.26,5.76,0.3,41.32
2,2017-07-12T21:37:21.000,2017-07-12T21:40:24.000,3,0.48,1,N,262,263,2,4,0.5,0.5,0,0,0.3,5.3
2,2017-07-12T21:42:20.000,2017-07-12T21:50:41.000,3,1.31,1,N,166,41,1,7.5,0.5,0.5,1,0,0.3,9.8
2,2017-07-12T21:53:20.000,2017-07-12T22:02:06.000,3,1.76,1,N,41,75,1,8,0.5,0.5,1.86,0,0.3,11.16
1,2017-07-12T21:07:21.000,2017-07-12T21:43:24.000,1,16.40,2,N,132,164,2,52,0,0.5,0,5.76,0.3,58.56
1,2017-07-12T21:46:32.000,2017-07-12T22:12:18.000,3,5.70,1,N,164,255,2,22,0.5,0.5,0,0,0.3,23.3
2,2017-07-12T21:08:51.000,2017-07-12T21:20:28.000,3,2.17,1,N,163,234,1,9.5,0.5,0.5,2.16,0,0.3,12.96
2,2017-07-12T21:34:18.000,2017-07-12T21:40:41.000,3,0.93,1,N,234,90,1,6,0.5,0.5,1,0,0.3,8.3
2,2017-07-12T21:45:35.000,2017-07-12T21:57:40.000,5,2.25,1,N,68,161,2,10,0.5,0.5,0,0,0.3,11.3
2,2017-07-12T21:13:01.000,2017-07-12T21:33:47.000,1,2.98,1,N,231,33,1,13.5,0.5,0.5,3,0,0.3,17.8
2,2017-07-12T21:46:24.000,2017-07-12T22:01:01.000,1,2.45,1,N,231,90,1,11.5,0.5,0.5,2.56,0,0.3,15.36
1,2017-07-12T21:21:04.000,2017-07-12T21:48:31.000,1,8.80,1,N,236,169,2,28,0.5,0.5,0,0,0.3,29.3
1,2017-07-12T21:05:42.000,2017-07-12T21:23:23.000,1,2.70,1,N,186,148,1,13,0.5,0.5,3,0,0.3,17.3
1,2017-07-12T21:35:15.000,2017-07-12T21:40:07.000,1,0.40,1,N,148,148,1,4.5,0.5,0.5,1.15,0,0.3,6.95
1,2017-07-12T21:45:36.000,2017-07-12T22:07:35.000,2,3.50,1,N,79,230,1,16,0.5,0.5,2,0,0.3,19.3
2,2017-07-12T21:16:14.000,2017-07-12T22:00:44.000,1,18.48,2,N,132,68,2,52,0,0.5,0,5.76,0.3,58.56
1,2017-07-12T21:07:50.000,2017-07-12T21:28:04.000,1,5.70,1,N,233,65,1,20,0.5,0.5,5.3,0,0.3,26.6
1,2017-07-12T21:39:56.000,2017-07-12T21:54:14.000,4,2.30,1,N,144,164,2,11.5,0.5,0.5,0,0,0.3,12.8
2,2017-07-12T21:22:20.000,2017-07-12T21:37:29.000,1,4.17,1,N,162,151,1,15,0.5,0.5,3.26,0,0.3,19.56
2,2017-07-12T21:46:36.000,2017-07-12T22:02:45.000,1,2.94,1,N,239,229,2,13,0.5,0.5,0,0,0.3,14.3
2,2017-07-12T21:08:53.000,2017-07-12T21:16:13.000,1,0.49,1,N,162,170,1,6,0.5,0.5,1.46,0,0.3,8.76
2,2017-07-12T21:39:52.000,2017-07-12T21:56:07.000,1,2.33,1,N,186,229,1,12.5,0.5,0.5,2.76,0,0.3,16.56
2,2017-07-12T21:59:44.000,2017-07-12T22:04:11.000,1,1.12,1,N,140,263,1,5.5,0.5,0.5,1.36,0,0.3,8.16
1,2017-07-12T21:33:36.000,2017-07-12T21:39:08.000,1,0.90,1,N,170,107,2,5.5,0.5,0.5,0,0,0.3,6.8
1,2017-07-12T21:51:01.000,2017-07-12T22:04:10.000,1,1.30,1,N,137,161,1,9.5,0.5,0.5,0,0,0.3,10.8
2,2017-07-12T21:02:20.000,2017-07-12T21:13:51.000,2,1.21,1,N,113,224,1,9,0.5,0.5,1.54,0,0.3,11.84
2,2017-07-12T21:17:49.000,2017-07-12T21:42:44.000,2,3.08,1,N,4,234,2,16.5,0.5,0.5,0,0,0.3,17.8
2,2017-07-12T21:44:39.000,2017-07-12T21:58:35.000,2,2.68,1,N,234,87,1,11.5,0.5,0.5,0,0,0.3,12.8
1,2017-07-12T21:00:49.000,2017-07-12T21:20:35.000,1,4.20,1,N,264,161,1,16.5,0.5,0.5,0.01,0,0.3,17.81
1,2017-07-12T21:22:44.000,2017-07-12T21:34:03.000,1,1.50,1,N,161,137,1,9,0.5,0.5,2.05,0,0.3,12.35
1,2017-07-12T21:49:41.000,2017-07-12T21:57:35.000,2,1.10,1,N,234,100,1,7,0.5,0.5,1.65,0,0.3,9.95
2,2017-07-12T21:12:36.000,2017-07-12T21:17:43.000,1,0.96,1,N,163,142,1,5.5,0.5,0.5,1,0,0.3,7.8
2,2017-07-12T21:30:29.000,2017-07-12T21:51:29.000,1,2.00,1,N,163,48,2,14,0.5,0.5,0,0,0.3,15.3
2,2017-07-12T21:57:28.000,2017-07-12T22:02:42.000,1,1.18,1,N,186,249,1,6,0.5,0.5,1.46,0,0.3,8.76
2,2017-07-12T21:29:25.000,2017-07-12T21:49:08.000,1,9.69,1,N,138,140,1,28,0.5,0.5,6,5.76,0.3,41.06
2,2017-07-12T21:52:59.000,2017-07-12T21:56:20.000,1,0.71,1,N,141,262,1,4.5,0.5,0.5,1.16,0,0.3,6.96
